node_id,title,memory_badge,think_prompt,definition,description,key_points,interaction_instruction,quick_check,answer,image_description
TU01,இயைபாக்கம் — அறிமுகம்,மாற்றம் → கண்டறிதல் → துலங்கல்,"நம்மைச் சுற்றியோ அல்லது உடலினுள்ளோ மாற்றம் ஒன்று ஏற்பட்டால், உடல் அதை எவ்வாறு அறிந்து பொருத்தமான துலங்கலை ஏற்படுத்துகிறது?","உடலின் பல்வேறு பகுதிகளின் செயற்பாடுகளை ஒருங்கிணைத்து, தூண்டல்களுக்கு பொருத்தமான துலங்கல்களை ஏற்படுத்தும் செயன்முறை இயைபாக்கம் எனப்படும்.","இந்த உபஅலகில் இயைபாக்கம் ஏன் அவசியம், தூண்டல், வாங்கி, புலன் அங்கம், துலங்கல், விளைவுகாட்டி ஆகியவற்றின் பங்கு, மேலும் உள்ளீடு → முறைவழிப்படுத்தல் → வெளியீடு என்ற முறை ஆகியவை அறிமுகப்படுத்தப்படுகின்றன.",இயைபாக்கம்|தூண்டல்|வாங்கி|புலன் அங்கம்|துலங்கல்|விளைவுகாட்டி|உள்ளீடு → முறைவழிப்படுத்தல் → வெளியீடு,ஒரு மாற்றம் நிகழ்ந்தவுடன் உடலில் அடுத்தடுத்து என்ன நடக்கலாம் என்பதை மாணவர்கள் முன்னறிவிக்கச் சொல்லுங்கள்.,இயைபாக்கம் என்றால் என்ன?,உடலின் பல்வேறு பகுதிகளின் செயற்பாடுகளை ஒருங்கிணைத்து தூண்டல்களுக்கு பொருத்தமான துலங்கல்களை ஏற்படுத்தும் செயன்முறையே இயைபாக்கம்.,"16:9 கல்வி விளக்கப்படம். ஒரு மாணவனைச் சுற்றியுள்ள சில மாற்றங்களைக் காட்டவும்: பிரகாசமான ஒளி, ஒலி, சூடான பொருள் போன்றவை. அவற்றை உடல் உணர்ந்து துலங்கலை ஏற்படுத்தும் எண்ணத்தை எளிமையாகக் காட்டவும். பின்னர் கற்பிக்கப்படவுள்ள முழுப் பாதையை இங்கு அதிகமாக விவரிக்க வேண்டாம்."
TU01_01,ஏதோ ஒன்று மாறுகிறது!,மாற்றமே தொடக்கம்,"ஒளி திடீரென அதிகரித்தால், பெரிய ஒலி கேட்டால் அல்லது சூடான ஒன்றைத் தொட்டால் உடலில் என்ன நடக்கிறது?",உடலினுள்ளோ புறச்சூழலிலோ நிகழும் மாற்றம் உடலால் கண்டறியப்பட்டு ஒரு துலங்கலைத் தொடங்கக்கூடும்.,"உடல் தொடர்ந்து அகச்சூழல் மற்றும் புறச்சூழலில் ஏற்படும் மாற்றங்களை எதிர்கொள்கிறது. இம்மாற்றங்களில் சில உடலால் கண்டறியப்பட்டு, அதற்கேற்ற செயல் ஒன்றை ஏற்படுத்துகின்றன.",அகச்சூழல்|புறச்சூழல்|மாற்றம்|கண்டறிதல்|துலங்கல்,படத்தில் காணப்படும் ஒவ்வொரு மாற்றத்திற்கும் உடல் எவ்வாறு துலங்கலாம் என்று மாணவர்கள் கூறட்டும்.,உடலில் ஒரு துலங்கலைத் தொடங்கச் செய்யக்கூடியது என்ன?,அகச்சூழல் அல்லது புறச்சூழலில் உடலால் கண்டறியப்படும் ஒரு மாற்றம்.,"16:9 ஈர்க்கும் ஆரம்பக் காட்சி. ஒரே மாணவனைச் சுற்றி மூன்று எளிய நிலைகளைப் காட்டவும்: திடீர் பிரகாசமான ஒளி, பெரிய ஒலி, சூடான பொருளுக்கு அருகிலுள்ள கை. உடனடி பதில்களை எழுதாமல், 'மாற்றம் நிகழ்கிறது' என்ற எண்ணத்தை மட்டும் தெளிவாக உருவாக்கவும்."
TU01_02,உடலுக்கு ஏன் இயைபாக்கம் தேவை?,பல பகுதிகள் — ஒரு ஒழுங்கான துலங்கல்,வாங்கி ஒன்றும் விளைவுகாட்டி ஒன்றும் தனித்தனியாகச் செயற்பட்டால் மட்டும் சரியான துலங்கல் உருவாகுமா?,பல்வேறு அங்கங்களும் தொகுதிகளும் பொருத்தமான நேரத்தில் ஒன்றுடன் ஒன்று இணைந்து செயற்படுவதற்கு இயைபாக்கம் அவசியம்.,ஒரு மாற்றத்தைக் கண்டறிதல் மட்டும் போதாது. அந்தத் தகவலைப் பயன்படுத்தி உடலின் பொருத்தமான பகுதி செயற்பட வேண்டும். வாங்கி மற்றும் விளைவுகாட்டிக்கிடையே சரியான தொடர்பும் ஒழுங்கும் இருக்கும்போது பொருத்தமான துலங்கல் உருவாகிறது.,மாற்றம் கண்டறிதல்|தகவல் தொடர்பு|பொருத்தமான செயல்|ஒழுங்கான துலங்கல்|இயைபாக்கம்,"ஒரு எளிய தினசரி நிலையை எடுத்துக் கொண்டு, உடலின் எந்தெந்த பகுதிகள் ஒன்றுடன் ஒன்று இணைந்து செயற்பட வேண்டும் என்று மாணவர்களிடம் கேளுங்கள்.",உடலுக்கு இயைபாக்கம் ஏன் தேவை?,"மாற்றங்களைக் கண்டறிந்து, உடலின் பொருத்தமான பகுதிகளை ஒருங்கிணைத்து சரியான துலங்கலை ஏற்படுத்துவதற்காக.","16:9 கருத்து விளக்கப்படம். இடப்பக்கத்தில் ஒரு புலன் அங்கம் மாற்றத்தை உணர்வதையும், வலப்பக்கத்தில் ஒரு தசை அல்லது சுரப்பி செயற்படுவதையும் காட்டவும். நடுவில் அவற்றை இணைக்கும் ஒருங்கிணைப்பு எண்ணத்தை அம்புகள் மூலம் காட்டவும்."
TU01_03,தூண்டல்,தூண்டல் = கண்டறியக்கூடிய மாற்றம்,"ஒளி, ஒலி, வெப்பநிலை மாற்றம் போன்றவற்றில் பொதுவானது என்ன?",உடலால் கண்டறியப்பட்டு ஒரு துலங்கலை ஏற்படுத்தக்கூடிய அகச்சூழல் அல்லது புறச்சூழல் மாற்றம் தூண்டல் எனப்படும்.,தூண்டல் என்பது ஒரு மாற்றம். அது புறச்சூழலிலிருந்தோ அகச்சூழலிலிருந்தோ வரலாம். தூண்டலைக் கண்டறிதலே இயைபாக்கச் செயன்முறையின் ஆரம்பமாக அமையும்.,தூண்டல்|கண்டறியக்கூடிய மாற்றம்|அகச்சூழல்|புறச்சூழல்|துலங்கலைத் தொடங்கும்,"பல உதாரணங்களை வழங்கி, அவற்றில் எது தூண்டல் என்பதை மாணவர்கள் அடையாளம் காணச் சொல்லுங்கள்.",தூண்டல் என்றால் என்ன?,உடலால் கண்டறியப்பட்டு ஒரு துலங்கலை ஏற்படுத்தக்கூடிய அகச்சூழல் அல்லது புறச்சூழல் மாற்றம்.,"16:9 நான்கு எளிய தூண்டல்களைக் காட்டும் கல்விப் படம்: ஒளி, ஒலி, வெப்பம், மணம். ஒவ்வொன்றும் ஒரு புலன் அங்கத்தை நோக்கிச் செல்லும் வகையில் அமைத்தாலும் முழு இயைபாக்கப் பாதையை இன்னும் காட்ட வேண்டாம்."
TU01_04,வாங்கி மற்றும் புலன் அங்கம்,வாங்கி தூண்டலைக் கண்டறிகிறது,ஒரு தூண்டல் இருப்பதை உடல் முதலில் எவ்வாறு அறிகிறது?,வாங்கி என்பது ஒரு குறிப்பிட்ட தூண்டலைக் கண்டறியும் சிறப்பாக்கப்பட்ட அமைப்பாகும். பல வாங்கிகள் புலன் அங்கங்களுடன் தொடர்புடையவை.,"கண், காது, மூக்கு, நாக்கு, தோல் போன்ற புலன் அங்கங்கள் பலவகையான தூண்டல்களைக் கண்டறிய உதவுகின்றன. அவற்றிலுள்ள வாங்கிகள் குறிப்பிட்ட மாற்றங்களுக்கு உணர்திறன் கொண்டவை.",வாங்கி|புலன் அங்கம்|கண்|காது|மூக்கு|நாக்கு|தோல்|தூண்டலைக் கண்டறிதல்,"தூண்டல் உதாரணங்களைச் சொல்லி, அதனை கண்டறியக்கூடிய புலன் அங்கத்தை மாணவர்கள் பொருத்தச் சொல்லுங்கள்.",தூண்டலைக் கண்டறியும் அமைப்பு எது?,வாங்கி.,"16:9 தெளிவான புலன் அங்க விளக்கப்படம். கண், காது, மூக்கு, நாக்கு, தோல் ஆகியவற்றை பெரிய எளிய குறியீடுகளுடன் காட்டி, ஒளி, ஒலி, மணம், சுவை, தொடுதல் அல்லது வெப்பம் போன்ற தொடர்புடைய தூண்டல்களுடன் இணைக்கவும்."
TU01_05,துலங்கல் மற்றும் விளைவுகாட்டி,விளைவுகாட்டி செயற்படுகிறது → துலங்கல் தோன்றுகிறது,தூண்டல் கண்டறியப்பட்ட பிறகு உடலின் எந்த பகுதி உண்மையான செயலைச் செய்கிறது?,விளைவுகாட்டி என்பது ஒரு துலங்கலை உருவாக்கும் அங்கம் அல்லது அமைப்பு. தசைகளும் சுரப்பிகளும் பொதுவான விளைவுகாட்டிகளாகும்.,விளைவுகாட்டி செயற்படும் போது காணக்கூடிய அல்லது அளக்கக்கூடிய துலங்கல் உருவாகிறது. தசை சுருங்கி இயக்கத்தை ஏற்படுத்தலாம்; சுரப்பி சுரப்பை வெளியிடலாம்.,விளைவுகாட்டி|தசை|சுரப்பி|செயற்பாடு|துலங்கல்,"பல செயல்களை வழங்கி, அதில் விளைவுகாட்டி எது மற்றும் துலங்கல் எது என்பதை மாணவர்கள் பிரித்தறியச் சொல்லுங்கள்.",விளைவுகாட்டியின் பணி என்ன?,செயற்பட்டு துலங்கலை உருவாக்குவது.,16:9 இரண்டு பகுதி விளக்கப்படம். ஒரு தசை சுருங்கி இயக்கத்தை உருவாக்குவது மற்றும் ஒரு சுரப்பி சுரப்பை வெளியிடுவது ஆகியவற்றைக் காட்டவும். 'விளைவுகாட்டி' மற்றும் 'துலங்கல்' என்பவற்றின் வேறுபாடு பார்வையில் தெளிவாக இருக்க வேண்டும்.
TU01_06,முழுமையான இயைபாக்கப் பாதை,தூண்டல் → வாங்கி → இயைபாக்கம் → விளைவுகாட்டி → துலங்கல்,ஒரு மாற்றம் நிகழ்வதிலிருந்து இறுதி துலங்கல் தோன்றும் வரை முழுப் பாதையையும் சரியான வரிசையில் அமைக்க முடியுமா?,இயைபாக்கச் செயன்முறையை தூண்டல் → வாங்கி → இயைபாக்க மையம் அல்லது இயைபாக்கத் தொகுதி → விளைவுகாட்டி → துலங்கல் என எளிமைப்படுத்திக் காட்டலாம்.,தூண்டல் முதலில் வாங்கியால் கண்டறியப்படுகிறது. தகவல் இயைபாக்கம் செய்யப்படுகிறது. பின்னர் பொருத்தமான விளைவுகாட்டி செயற்பட்டு துலங்கலை உருவாக்குகிறது. இந்த வரிசை உடலின் ஒருங்கிணைந்த செயற்பாட்டை விளக்குகிறது.,தூண்டல் → வாங்கி → இயைபாக்கம் → விளைவுகாட்டி → துலங்கல்,"ஐந்து படிகளையும் கலந்த வரிசையில் வழங்கி, மாணவர்கள் சரியான இயைபாக்கப் பாதையாக ஒழுங்குபடுத்தச் சொல்லுங்கள்.","வாங்கிக்குப் பிறகு, விளைவுகாட்டிக்கு முன் நிகழும் முக்கிய செயன்முறை எது?",இயைபாக்கம்.,16:9 பெரிய கிடைமட்ட செயன்முறை வரைபடம்: தூண்டல் → வாங்கி → இயைபாக்க மையம்/தொகுதி → விளைவுகாட்டி → துலங்கல். ஒவ்வொரு கட்டத்திற்கும் எளிய குறியீடு மற்றும் தெளிவான அம்புகளைப் பயன்படுத்தவும்.
TU01_07,உள்ளீடு → முறைவழிப்படுத்தல் → வெளியீடு,ஒரே செயன்முறை — மூன்று கட்டங்கள்,முழு இயைபாக்கப் பாதையை மூன்று பெரிய தொகுதி-கட்டங்களாகச் சுருக்க முடியுமா?,"இயைபாக்கத்தை உள்ளீடு, முறைவழிப்படுத்தல், வெளியீடு என்ற மூன்று கட்டங்களைக் கொண்ட தகவல் செயன்முறையாகக் கருதலாம்.",வாங்கி தூண்டலைக் கண்டறிந்து உள்ளீட்டை வழங்குகிறது. அந்தத் தகவல் முறைவழிப்படுத்தப்பட்டு பொருத்தமான செயல் தீர்மானிக்கப்படுகிறது. விளைவுகாட்டி செயற்படுவதன் மூலம் வெளியீடு உருவாகிறது.,உள்ளீடு = வாங்கி வழங்கும் தகவல்|முறைவழிப்படுத்தல் = தகவலை ஒருங்கிணைத்தல்|வெளியீடு = விளைவுகாட்டியின் செயல்,"தூண்டல், வாங்கி, இயைபாக்கம், விளைவுகாட்டி, துலங்கல் ஆகியவற்றை உள்ளீடு, முறைவழிப்படுத்தல், வெளியீடு ஆகிய மூன்று பகுதிகளுடன் பொருத்தச் சொல்லுங்கள்.",இயைபாக்கத்தின் மூன்று பெரிய தகவல் கட்டங்கள் யாவை?,உள்ளீடு → முறைவழிப்படுத்தல் → வெளியீடு.,"16:9 மூன்று பெரிய பகுதிகளைக் கொண்ட அமைப்பு வரைபடம்: உள்ளீடு → முறைவழிப்படுத்தல் → வெளியீடு. வாங்கி உள்ளீட்டில், இயைபாக்க மையம் நடுவில், விளைவுகாட்டி வெளியீட்டில் இருப்பதை எளிய குறியீடுகளுடன் காட்டவும்."
TU01_08,இரண்டு இயைபாக்கத் தொகுதிகள்,நரம்பு + அகஞ்சுரக்கும்,உடலில் எல்லா இயைபாக்கமும் ஒரே தொகுதியால் மட்டுமே நடைபெறுகிறதா?,மனித உடலின் இயைபாக்கத்தில் நரம்புத் தொகுதியும் அகஞ்சுரக்கும் தொகுதியும் பங்கேற்கின்றன.,நரம்புத் தொகுதி நரம்பு இயைபாக்கத்தில் பங்கேற்கிறது. அகஞ்சுரக்கும் தொகுதி ஓமோன்கள் மூலம் இரசாயன இயைபாக்கத்தில் பங்கேற்கிறது. இவ்விரண்டும் உடலின் செயற்பாடுகளை ஒருங்கிணைக்க உதவுகின்றன.,நரம்புத் தொகுதி|நரம்பு இயைபாக்கம்|அகஞ்சுரக்கும் தொகுதி|ஓமோன்|இரசாயன இயைபாக்கம்,இரண்டு இயைபாக்கத் தொகுதிகளின் பெயர்களையும் அவற்றுடன் தொடர்புடைய இயைபாக்க வகையையும் மாணவர்கள் பொருத்தச் சொல்லுங்கள்.,மனித உடலின் இயைபாக்கத்தில் பங்கேற்கும் இரண்டு முக்கிய தொகுதிகள் யாவை?,நரம்புத் தொகுதி மற்றும் அகஞ்சுரக்கும் தொகுதி.,"16:9 இருபகுதி ஒப்பீட்டு காட்சி. இடப்புறம் மூளை, முண்ணான் மற்றும் நரம்புகளைச் சுட்டும் நரம்புத் தொகுதி; வலப்புறம் பல அகஞ்சுரக்கும் சுரப்பிகளையும் ஓமோன் வெளியீட்டையும் சுட்டும் அகஞ்சுரக்கும் தொகுதி. ஆழமான உடற்கூறு விவரங்கள் தேவையில்லை."
TU01_09,இயைபாக்கப் பாதையைப் பயன்படுத்துவோம்,ஒவ்வொரு கட்டத்தையும் அடையாளம் காண்,"ஒரு சாதாரண தினசரி நிகழ்வில் தூண்டல், வாங்கி, விளைவுகாட்டி மற்றும் துலங்கலை அடையாளம் காண முடியுமா?",ஒரு இயைபாக்க நிகழ்வை அதன் முக்கிய கட்டங்களாகப் பிரித்து ஆராயலாம்.,"ஒரு புதிய சாதாரண நிலையை எடுத்துக் கொண்டு தூண்டல், வாங்கி, இயைபாக்கம், விளைவுகாட்டி மற்றும் துலங்கல் ஆகியவற்றை அடையாளம் காணுங்கள். இங்கு தெறிவில் பற்றிய விரிவான பாதையை முன்கூட்டியே கற்பிக்காமல், பொதுவான இயைபாக்க எண்ணத்தையே பயன்படுத்த வேண்டும்.",தூண்டலை அடையாளம் காண்|வாங்கியை அடையாளம் காண்|இயைபாக்கத்தை அடையாளம் காண்|விளைவுகாட்டியை அடையாளம் காண்|துலங்கலை அடையாளம் காண்,"ஒரு சாதாரண உதாரணத்தை வழங்கி, முழு இயைபாக்கப் பாதையின் ஒவ்வொரு கட்டத்தையும் மாணவர்கள் பெயரிடச் சொல்லுங்கள்.",ஒரு செயலில் உண்மையான துலங்கலை உருவாக்கும் பகுதி எது?,விளைவுகாட்டி.,"16:9 மதிப்பீட்டு காட்சி. உதாரணமாக ஒரு மாணவன் பிரகாசமான ஒளியைப் பார்த்து கண்களைச் சுருக்குவது போன்ற எளிய நிலையைப் பயன்படுத்தவும். படத்தில் முக்கிய பகுதிகளை A–E என மட்டும் குறிக்கவும்; தூண்டல், வாங்கி, இயைபாக்கம், விளைவுகாட்டி, துலங்கல் என்ற பதில்களை நேரடியாக எழுத வேண்டாம்."
