node_id,parent_id,node_type,title,display_order,scene_type,memory_badge,think_prompt,definition,description,key_points,image_paths,image_description,interaction_type,interaction_instruction,quick_check,answer,previous_node,next_node,up_node,down_node,remarks
TU01,,teachable_unit,"Introduction to Coordination",1,overview,"Detect → Coordinate → Respond","Why must the body detect changes and produce suitable responses?","Coordination is the process by which the body detects changes and organizes suitable responses.","This opening subunit introduces why coordination is needed and builds the basic pathway from stimulus detection to response before introducing the nervous and endocrine systems.","Need for coordination|Stimulus|Receptor|Coordinator|Effector|Response|Nervous system|Endocrine system","images/intro-overview.png","16:9 opening overview visual for Grade 11 Science. Show a human figure in the centre receiving different environmental signals such as bright light, sound, heat and smell, with simple arrows leading toward sensory organs and then toward body responses. The visual should communicate the overall idea Detect → Coordinate → Respond without teaching detailed nervous-system anatomy yet. Clean modern educational infographic, realistic but student-friendly, uncluttered, suitable for a classroom smart board.","observe","Ask students to look at the whole visual and predict what the body must do whenever conditions change.","What is the main purpose of coordination in the body?","To detect changes and organize suitable responses.",,TU01_01,,,Subunit overview and entry node
TU01_01,TU01,topic,"Something Changes!",2,hook,"Change comes first.","When you touch something very hot, what happens before you consciously think about it?","Living organisms constantly experience changes in their internal and external environments.","A sudden change can require an immediate response. This scene creates curiosity about how the body detects a change and produces an action.","change|detection|action|rapid response","images/su01_01_something_changes.png","16:9 educational illustration. A Grade 11 student accidentally touches a hot metal cup or pan handle and immediately pulls the hand away. Show the hot object clearly, heat waves or a safe visual cue for high temperature, the hand making contact, and the withdrawal movement. Focus on cause and immediate reaction. No nervous-system anatomy yet. Clean realistic school-science illustration with generous empty space and no unnecessary text.","observe","Ask students to describe only what they can observe: what changed and what the person did.","What two events can you identify in this situation?","A change occurred and the body produced a response.",TU01,TU01_02,TU01,,Opening hook
TU01_02,TU01,topic,"Why Does the Body Need Coordination?",3,concept,"Body parts must work together.","What would happen if different organs detected changes but could not communicate with one another?","Coordination allows different parts of the body to work together so that appropriate responses can be produced.","The body continuously detects changes and organizes the activity of different organs and tissues. Appropriate coordination supports survival and stable body functioning.","detect change|communication|work together|appropriate response","images/su01_02_need_for_coordination.png","16:9 educational three-scenario composition. Left: a foot encounters a thorn and begins to withdraw. Centre: a student smells attractive food and salivation begins. Right: a person faces a sudden bright light and reacts. Use clean visual separation between the three everyday examples. Emphasize that different sensory organs and effectors are involved but all examples share detection followed by an organized response. Modern Grade 11 textbook style.","identify_examples","Ask students to find the common pattern shared by all three situations.","Why is coordination necessary in living organisms?","Because different body parts must work together to produce suitable responses to changes.",TU01_01,TU01_03,TU01,,Establish the need for coordination
TU01_03,TU01,topic,"Stimulus",4,concept,"A stimulus is a detectable change.","In each situation, what exactly changed first?","A stimulus is a detectable change in the internal or external environment.","Light, sound, smell, taste, temperature, touch and changes occurring inside the body can act as stimuli when they can be detected by the organism.","stimulus|detectable change|external environment|internal environment","images/su01_03_stimulus_examples.png","16:9 clean educational infographic showing six examples of stimuli without emphasizing receptors yet: bright light from a lamp or sun, ringing bell producing sound waves, aroma from food or flower, sour or spicy food, heat from a warm object, and cold from an ice cube. Arrange as simple visual examples around the central word concept 'change' but avoid printed labels if possible. Grade 11 science style, uncluttered.","classify","Show the visual examples and ask students to identify the actual change in each case.","What is a stimulus?","A stimulus is a detectable change in the internal or external environment.",TU01_02,TU01_04,TU01,,Introduce stimulus separately
TU01_04,TU01,topic,"Receptor and Sensory Organ",5,concept,"Receptors detect stimuli.","If light is the stimulus, what detects it?","A receptor is a structure that detects a stimulus. Sensory organs contain receptors that detect particular types of stimuli.","Different sensory organs detect different stimuli: the eye detects light, the ear detects sound, the nose detects smell, the tongue detects taste and the skin detects stimuli such as touch and temperature.","receptor|sensory organ|detect stimulus|eye|ear|nose|tongue|skin","images/su01_04_receptors_sensory_organs.png","16:9 labelled educational matching-style diagram. Show five sensory organs clearly: eye, ear, nose, tongue and skin/hand. Place corresponding stimulus cues near them: light rays, sound waves, aroma, food taste and touch/temperature. Use directional arrows from stimulus toward the sensory organ to make the idea of detection visually obvious. Clean scientific illustration, not childish clip art.","match","Ask students to match each visible stimulus with the sensory organ that detects it.","What is the role of a receptor?","A receptor detects a stimulus.",TU01_03,TU01_05,TU01,,Separate stimulus from receptor clearly
TU01_05,TU01,topic,"Response and Effector",6,concept,"Response = what happens; effector = what performs it.","When a foot moves away from a thorn, what is the response and what actually produces that movement?","A response is the reaction to a stimulus. An effector is the organ or structure that carries out the response.","Muscles and glands act as effectors. Muscles can produce movement, while glands can produce secretions such as saliva.","response|effector|muscle|gland","images/su01_05_response_effector.png","16:9 educational visual with two clear examples. Main example: a foot touches a thorn and leg muscles contract to withdraw the foot. Smaller secondary example: smell of food is followed by secretion from salivary glands. Visually distinguish the action that occurs from the body structure performing it. Use simple callout arrows but avoid overcrowding. Grade 11 biology illustration.","compare","Ask students first to identify the action and then identify the structure that carries out that action.","What is the difference between a response and an effector?","The response is the reaction that occurs; the effector is the muscle or gland that carries out the reaction.",TU01_04,TU01_06,TU01,,Misconception-prevention scene
TU01_06,TU01,topic,"The Full Coordination Pathway",7,process,"Stimulus → Receptor → Coordinator → Effector → Response","A receptor detects a stimulus, but how does the correct effector know what to do?","A coordination pathway links stimulus detection with an organized response.","A stimulus is detected by a receptor. Information is coordinated, an effector is activated and a response is produced. These stages can be represented as one connected pathway.","stimulus|receptor|coordinator|effector|response","images/su01_06_full_coordination_pathway.png","16:9 horizontal process diagram designed for a classroom smart board. Show five large stages connected left to right: Stimulus → Receptor → Coordinator → Effector → Response. Use one consistent real-life example, such as heat touching the skin: hot object icon, skin receptor, simple central control/coordinator symbol, arm muscle, hand withdrawal. Each stage should be visually distinct and the arrows should make direction unmistakable. Minimal text and spacious layout.","sequence","Let students predict or arrange the stages before revealing the complete pathway.","State the correct sequence from stimulus to response.","Stimulus → Receptor → Coordinator → Effector → Response",TU01_05,TU01_07,TU01,,Core concept map
TU01_07,TU01,topic,"Input → Processing → Output",8,process,"The same pathway can be viewed as a system.","Which parts of the coordination pathway belong to input, processing and output?","Coordination can be understood as an information-processing system with input, processing and output.","Stimulus detection provides information to the body. A coordinating system processes this information, and effectors produce the output or response.","input|processing|output|information flow","images/su01_07_input_processing_output.png","16:9 systems-thinking infographic with three large horizontal zones: INPUT → PROCESSING → OUTPUT. Under Input show a stimulus and receptor; under Processing show a simple coordinator/control-centre symbol; under Output show an effector producing a response. Also visually echo the five-stage pathway so students can map Stimulus/Receptor → Coordinator → Effector/Response onto the three system stages. Clean professional science graphic.","map","Ask students to place stimulus, receptor, coordinator, effector and response into the three system categories.","How can coordination be described using Input → Processing → Output?","Input is detection of the stimulus, processing is coordination of the information, and output is the effector producing the response.",TU01_06,TU01_08,TU01,,Bridge to SU02 systems thinking
TU01_08,TU01,topic,"Two Coordinating Systems",9,compare,"The human body has two coordinating systems.","Does every body response use exactly the same method of communication?","Coordination in the human body is carried out mainly by the nervous system and the endocrine system.","Nervous coordination uses impulses transmitted through nerves toward particular effectors. Chemical coordination uses hormones carried in the blood. At this stage, students only need to recognize the existence of these two coordinating systems.","nervous system|endocrine system|nervous coordination|chemical coordination","images/su01_08_two_coordinating_systems.png","16:9 split-screen introductory infographic. Left side: simplified human nervous-system silhouette with brain, spinal cord and nerves, showing a rapid targeted signal toward a specific body part. Right side: simplified endocrine representation with a few glands and hormone molecules travelling through a blood vessel to body tissues. Present only the broad contrast nervous signals versus hormones; do not introduce detailed gland names or advanced physiology. Balanced clean Grade 11 educational design.","compare","Ask students to identify the two different methods of body coordination represented in the visual.","What are the two main coordinating systems in the human body?","The nervous system and the endocrine system.",TU01_07,TU01_09,TU01,,Introductory comparison only
TU01_09,TU01,topic,"Apply the Coordination Pathway",10,application,"Use the pathway in a new situation.","A student smells tasty food and saliva begins to flow. Can you trace the coordination pathway?","Understanding coordination means being able to identify its stages in a real situation.","Apply Stimulus → Receptor → Coordinator → Effector → Response to the smell-of-food example. The smell is detected, information is coordinated and the salivary glands produce saliva.","apply pathway|stimulus|receptor|coordinator|effector|response","images/su01_09_apply_coordination_pathway.png","16:9 application scenario illustration. Show a student near freshly prepared tasty food, visible aroma travelling toward the nose, a subtle simple pathway toward the head/coordination centre, then toward salivary glands, followed by saliva secretion. The image should allow students to infer each stage rather than printing the answers directly. Realistic educational style, clear sequence cues, suitable for smart-board questioning.","apply","Ask students to identify the stimulus, receptor, coordinator, effector and response before revealing the answer.","In the smell-of-food situation, identify the stimulus, receptor, coordinator, effector and response.","Stimulus: smell of food; Receptor: receptors in the nose; Coordinator: nervous system; Effector: salivary glands; Response: secretion of saliva.",TU01_08,,TU01,,Final retrieval/application scene; bridge to SU02
